,isbn,title,rating,age,UserID,description,num_pages,image_url,emotion_NRC
17,9781449464899,Big Nate's Greatest Hits,5.0,10,17,"[""The more Big Nate, the better! Readers will have their fill of Nate's wisecracks and school-day shenanigans in this giant collection of hilarious comic strips.""]",0,https://covers.openlibrary.org/b/id/7383431-L.jpg,
18,810993139,"Diary of a Wimpy Kid. 1, Greg Heffley's Journal",5.0,10,18,"<i>Boys don't keep diaries--or do they?</i><br /><br /><i>The launch of an exciting and innovatively illustrated new series narrated by an unforgettable kid every family can relate to</i><br /><br />It's a new school year, and Greg Heffley finds himself thrust into middle school, where undersized weaklings share the hallways with kids who are taller, meaner, and already shaving. The hazards of growing up before you're ready are uniquely revealed through words and drawings as Greg records them in his diary.<br /><br />In book one of this debut series, Greg is happy to have Rowley, his sidekick, along for the ride. But when Rowley's star starts to rise, Greg tries to use his best friend's newfound popularity to his own advantage, kicking off a chain of events that will test their friendship in hilarious fashion.<br /><br />Author/illustrator Jeff Kinney recalls the growing pains of school life and introduces a new kind of hero who epitomizes the challenges of being a kid. As Greg says in his diary, ""Just don't expect me to be all 'Dear Diary' this and 'Dear Diary' that."" Luckily for us, what Greg Heffley says he won't do and what he actually does are two very different things.<br /><br />Since its launch in May 2004 on Funbrain.com, the Web version of <i>Diary of a Wimpy Kid</i> has been viewed by 20 million unique online readers. This year, it is averaging 70,000 readers a day.<br /><br />F&amp;P level: T",0,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,
19,9780545919746,"I survived the American Revolution, 1776",5.0,10,19,"Hundreds of American soldiers were already dead. Battlefields in
Massachusetts and New York were soaked in the blood of American patriots.
And 11-year-old Nathaniel Knox was in the midst of it all, trapped in a
swamp and fighting for his life. The air was thick with smoke and
gunpowder. Bleeding soldiers screamed in agony. Through the trees, Nate saw
the line of British redcoat soldiers - at least 100 men. Their blood-
colored uniforms seemed to glow in the smoky haze. Gunfire blasted all
around him. Nate knelt behind a rock, gripping his gun with shaking hands.
The American Revolution had started as a glorious struggle for freedom.
America was determined to tear itself away from England, out of the grips
of King George III. The thirteen American colonies would become a brand new
country: The United States of America! But King George was like a snake
with America gripped in his fangs - and he didn't want to let go. So now it
was war - brutal, bloody war.",0,http://books.google.com/books/content?id=Za7snAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
20,9781250043238,Crenshaw,5.0,10,20,"""A story about a homeless boy and his imaginary friend that proves in unexpected ways that friends matter, whether real or imaginary""-- Provided by publisher.",245,https://covers.openlibrary.org/b/id/7390143-L.jpg,
21,9780061987502,The Secret Zoo,5.0,10,21,"When his sister disappears, Noah, along with their best friends, Ella and Richie, sneak into the neighborhood zoo and delve into the unknown world of the animals, where they discover a great secret that the zoo is protecting.",0,,
22,9780545483216,"Infinity Ring. 1, A Mutiny in Time",5.0,10,22,"Time has gone wrong, and best friends Dak Smyth and Sera Froste, together
with the young Hystorian Riq, must use the infinity ring to travel back to
one of the Great Breaks--a mutiny on the Santa Marâia--to correct history
and defeat the SQ.",0,https://covers.openlibrary.org/b/id/7275996-L.jpg,
23,9780545483216,"Infinity Ring. 1, A Mutiny in Time",5.0,10,23,"Time has gone wrong, and best friends Dak Smyth and Sera Froste, together
with the young Hystorian Riq, must use the infinity ring to travel back to
one of the Great Breaks--a mutiny on the Santa Marâia--to correct history
and defeat the SQ.",0,https://covers.openlibrary.org/b/id/7275996-L.jpg,
24,9780439903448,Swindle,5.0,10,24,"Ocean's 11... with 11-year-olds, in a super stand-alone heist caper from Gordon Korman!<br />After a mean collector named Swindle cons him out of his most valuable baseball card, Griffin Bing must put together a band of misfits to break into Swindle's compound and recapture the card. There are many things standing in their way -- a menacing guard dog, a high-tech security system, a very secret hiding place, and their general inability to drive -- but Griffin and his team are going to get back what's rightfully his . . . even if hijinks ensue. <br /> This is Gordon Korman at his crowd-pleasing best, perfect for readers who like to hoot, howl, and heist.",256,https://covers.openlibrary.org/b/id/2420671-L.jpg,
25,9780606391153,Dog Man,5.0,10,25,"Dog Man, a crimefighter with the head of a police dog and the body of a policeman, faces off against his archnemesis Petey the Cat.",0,http://books.google.com/books/content?id=gOkFkAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
26,9781428741126,A Wrinkle in Time ,0.0,12,26,"""Madeleine L\'Engle\'s Newbery Award-winning masterpiece has entranced young people since it was first published more than 50 years ago. With its mix of science fiction and fantas--including quantum physic--plus a strong and smart female protagonist, it holds a unique place in the annals of children\'s literature. This SparkNotes guide helps readers uncover the full richness and detail of this timeless work.""--amazon.com.",0,,
27,9781442407688,The Unwanteds,0.0,12,27,"In a society that purges thirteen-year-olds who are creative, identical twins Aaron and Alex are separated, one to attend University while the other, supposedly Eliminated, finds himself in a wondrous place where youths hone their abilities and learn magic.",390,https://covers.openlibrary.org/b/id/7235375-L.jpg,
28,9780545667067,A Million Ways Home,0.0,12,28,"Moving in with a police detective's mother for protection after her
grandmother suffers a stroke and she witnesses an armed robbery, young
Poppy tries to manage her worries while navigating a strained new
friendship and hatching a plan to save the life of a beautiful dog. By the
author of A Smidgen of Sky. Simultaneous eBook.",242,https://covers.openlibrary.org/b/id/9633902-L.jpg,
29,9780545643313,Woof : a Bowser and Birdie Novel,5.0,12,29,"[""Bowser is a mutt, just adopted by eleven-year-old Birdie Gaux and her grandmother, but when they all get home to Grammy's bait and tackle shop in the bayou they discover that their prize stuffed marlin has been stolen--so Bowser decides to investigate, and things quickly become complicated and dangerous.""]",293,http://books.google.com/books/content?id=7WjUoQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
30,9781442032699,Fablehaven,5.0,12,30,"When Kendra and Seth go to stay at their grandparents' estate, they
discover that it is a sanctuary for magical creatures and that a battle
between good and evil is looming.",0,http://books.google.com/books/content?id=K9IrPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
31,9780395645666,The Giver,5.0,12,31,Includes index. Description based on print version record and CIP data provided by publisher.,180,https://covers.openlibrary.org/b/id/9306347-L.jpg,
32,9781433690198,The Prince Warriors,4.0,12,32,"Based on Ephesians 6:10–18, The Prince Warriors is the first book in an
epic middle reader series that brings to life the invisible struggle
occurring in the spiritual realm.",288,https://covers.openlibrary.org/b/id/7414611-L.jpg,
33,9780312367541,A Wrinkle in Time,0.0,12,33,"Meg Murry and her friends become involved with unearthly strangers and a search for Meg's father, who has disappeared while engaged in secret work for the government.",245,https://covers.openlibrary.org/b/id/6424934-L.jpg,
34,9780525423843,"Theodore Boone, Kid Lawyer",5.0,12,34,"<i>A perfect murder. A faceless witness. A lone courtroom champion knows the whole truth . . . and he's only thirteen years old. Meet Theodore Boone</i><br /><br />In the small city of Strattenburg, there are many lawyers, and though he's only thirteen years old, Theo Boone thinks he's one of them. Theo knows every judge, policeman, court clerk--and a lot about the law. He dreams of being a great trial lawyer, of a life in the courtroom.<br /><br />But Theo finds himself in court much sooner than expected. Because he knows so much--maybe too much--he is suddenly dragged into the middle of a sensational murder trial. A cold-blooded killer is about to go free, and only Theo knows the truth.<br /><br />The stakes are high, but Theo won't stop until justice is served.",0,https://covers.openlibrary.org/b/id/10084993-L.jpg,
35,9781501146558,Children Of Eden,5.0,12,35,"Twenty-five-year-old Joey Graceffa has captured the hearts of more than 8.3
million teens and young adults through his playful, sweet, and
inspirational YouTube presence. Already a bestselling author with his
memoir, In Real Life, Joey now presents his first novel, Children of Eden.
Rowan is a second child in a world where population control measures make
her an outlaw, marked for death. She can never go to school, make friends,
or get the eye implants that will mark her as a true member of Eden.
Indeed, her kaleidoscopic eyes may very well give her away to the ruthless
Center government. Outside of Eden, Earth is poisoned and dead. All animals
and most plants have been destroyed by a man-made catastrophe. Long ago,
the brilliant scientist Aaron Al-Baz saved a pocket of civilization by
designing the EcoPanopticon, a massive computer program that hijacked all
global technology and put it to use preserving the last vestiges of
mankind. Humans will wait for thousands of years in Eden until the EcoPan
heals the world. As an illegal second child, Rowan has been hidden away in
her family’s compound for sixteen years. Now, desperate to see the world,
she recklessly escapes for what she swears will be only one night of
adventure. Though she finds an exotic world, and even a friend, the night
leads to tragedy. Soon Rowan becomes a renegade on the run. The first novel
from YouTube superstar Joey Graceffa, Children of Eden is a thrilling and
completely absorbing new book from one of social media’s brightest young
storytellers.",278,https://covers.openlibrary.org/b/id/7878669-L.jpg,
36,9781250043238,Crenshaw,0.0,12,36,"""A story about a homeless boy and his imaginary friend that proves in unexpected ways that friends matter, whether real or imaginary""-- Provided by publisher.",245,https://covers.openlibrary.org/b/id/7390143-L.jpg,
37,9780142406632,The Ruins of Gorlan,5.0,12,37,"Alternate cover edition for ISBN: <a href=""https://www.goodreads.com/book/show/15748868-the-ruins-of-gorlan"" rel=""nofollow"">9780142406632</a> and <a href=""https://www.goodreads.com/book/show/34370991-the-ruins-of-gorlan"" rel=""nofollow"">here</a><br /><br />They have always scared him in the past -- the Rangers, with their dark cloaks and shadowy ways. The villagers believe the Rangers practice magic that makes them invisible to ordinary people. And now 15-year-old Will, always small for his age, has been chosen as a Ranger's apprentice. What he doesn't yet realize is that the Rangers are the protectors of the kingdom. Highly trained in the skills of battle and surveillance, they fight the battles before the battles reach the people. And as Will is about to learn, there is a large battle brewing. The exiled Morgarath, Lord of the Mountains of Rain and Night, is gathering his forces for an attack on the kingdom. This time, he will not be denied....",249,https://covers.openlibrary.org/b/id/6994808-L.jpg,
38,9781595143761,Shark Wars,3.0,12,38,"With the ocean on the brink of chaos, a young shark Gray and his best friend Barkley, exiled from the safety of their peaceful reef home, will have to battle ferocious shivers, or join them, to survive.",248,https://covers.openlibrary.org/b/id/7250557-L.jpg,
39,9780060233372,Walk Two Moons,5.0,11,39,"In her own singularly beautiful style, Newbery Medal winner Sharon Creech intricately weaves together two tales, one funny, one bittersweet, to create a heartwarming, compelling, and utterly moving story of love, loss, and the complexity of human emotion.  Thirteen-year-old Salamanca Tree Hiddle, proud of her country roots and the ""Indian-ness in her blood,"" travels from Ohio to Idaho with her eccentric grandparents. Along the way, she tells them of the story of Phoebe Winterbottom, who received mysterious messages, who met a ""potential lunatic,"" and whose mother disappeared.  As Sal entertains her grandparents with Phoebe's outrageous story, her own story begins to unfold—the story of a thirteen-year-old girl whose only wish is to be reunited with her missing mother.",280,https://covers.openlibrary.org/b/id/23784-L.jpg,
40,9780316206938,I Funny : A Middle School Story,0.0,12,40,"Jamie Grimm is a middle schooler on a mission: he wants to become the world's greatest standup comedian--even if he doesn't have a lot to laugh about these days. He's new in town and stuck living with his aunt, uncle, and their evil son Stevie, a bully who doesn't let Jamie's wheelchair stop him from messing with Jamie as much as possible. But Jamie doesn't let his situation get him down. When his Uncle Frankie mentions a contest called The Planet's Funniest Kid Comic, Jamie knows he has to enter. But are the judges only rewarding him out of pity because of his wheelchair, like Stevie suggests? Will Jamie ever share the secret of his troubled past instead of hiding behind his comedy act?<br /><br />Following the bestselling success of the hilarious <i>Middle School, The Worst Years of My Life</i>, James Patterson continues to dish out the funnies in another highly-illustrated, heartfelt middle school story. (Includes more than 175 black-and-white illustrations.)<br /><br />",303,https://covers.openlibrary.org/b/id/8247103-L.jpg,
41,9780842343282,Death Strike,5.0,13,41,"Members of the Young Trib Force will have their courage tested as they deal
with Carpathia's strike against the militia and the beginning of World War
3.",0,https://covers.openlibrary.org/b/id/6522530-L.jpg,
42,9780399256066,Fast Break,5.0,13,42,"[""Since his mother's death, Jayson, twelve, has focused on basketball and surviving but he is found out and placed with an affluent foster family of a different race, and must learn to accept many changes, including facing his former teammates in a championship game.""]",261,http://books.google.com/books/content?id=upHZCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,
